"Cell","batch","cell_type","ExpLibSize"
"Cell1211","Batch2","Group2",51248.8871889976
"Cell1212","Batch2","Group1",78476.4470605513
"Cell1213","Batch2","Group2",57707.517926503
"Cell1214","Batch2","Group3",50843.0915574838
"Cell1215","Batch2","Group2",44923.3191251996
"Cell1216","Batch2","Group3",50986.9370185434
"Cell1217","Batch2","Group1",94869.1459727566
"Cell1218","Batch2","Group1",56865.8756807443
"Cell1219","Batch2","Group2",68952.3218172733
"Cell1220","Batch2","Group1",75488.5836193754
"Cell1221","Batch2","Group2",66147.1632997091
"Cell1222","Batch2","Group1",52554.168772075
"Cell1223","Batch2","Group1",67964.5774861124
"Cell1224","Batch2","Group3",51784.6093635215
"Cell1225","Batch2","Group3",37053.7893837548
"Cell1226","Batch2","Group4",45400.4894504488
"Cell1227","Batch2","Group2",57233.8169651011
"Cell1228","Batch2","Group4",66404.4553299091
"Cell1229","Batch2","Group4",68501.1818049665
"Cell1230","Batch2","Group2",57612.1569312755
"Cell1231","Batch2","Group2",60068.0055987078
"Cell1232","Batch2","Group2",55332.6669155935
"Cell1233","Batch2","Group1",54478.9110562656
"Cell1234","Batch2","Group3",42922.9295345695
"Cell1235","Batch2","Group3",54128.8570333611
"Cell1236","Batch2","Group2",58706.664259856
"Cell1237","Batch2","Group2",59711.7866846722
"Cell1238","Batch2","Group1",71277.7540377057
"Cell1239","Batch2","Group2",43808.4269317575
"Cell1240","Batch2","Group4",55513.9928100511
"Cell1241","Batch2","Group4",77964.6861667217
"Cell1242","Batch2","Group4",69345.8913882962
"Cell1243","Batch2","Group1",85329.5419512298
"Cell1244","Batch2","Group1",55658.7070952796
"Cell1245","Batch2","Group2",73544.2935575607
"Cell1246","Batch2","Group2",55431.6889814353
"Cell1247","Batch2","Group2",60269.1195464716
"Cell1248","Batch2","Group3",63263.0488276583
"Cell1249","Batch2","Group2",55984.8480285334
"Cell1250","Batch2","Group4",60538.1140387248
"Cell1251","Batch2","Group1",61489.1463849021
"Cell1252","Batch2","Group1",70168.9769065536
"Cell1253","Batch2","Group2",61111.717685839
"Cell1254","Batch2","Group4",67169.6543864777
"Cell1255","Batch2","Group2",60586.3522512271
"Cell1256","Batch2","Group1",87263.2818357073
"Cell1257","Batch2","Group1",90237.9145058767
"Cell1258","Batch2","Group3",62300.8001163323
"Cell1259","Batch2","Group4",40179.0638477251
"Cell1260","Batch2","Group1",61799.6528861314
"Cell1261","Batch2","Group3",51210.497308389
"Cell1262","Batch2","Group2",60367.9329135661
"Cell1263","Batch2","Group3",68659.0239916011
"Cell1264","Batch2","Group4",51141.8489860034
"Cell1265","Batch2","Group2",61374.6901719197
"Cell1266","Batch2","Group1",79414.1825947135
"Cell1267","Batch2","Group3",62999.4456593399
"Cell1268","Batch2","Group4",60324.8037479779
"Cell1269","Batch2","Group1",42022.9389840908
"Cell1270","Batch2","Group1",45219.6236740444
"Cell1271","Batch2","Group4",54709.1049507783
"Cell1272","Batch2","Group1",54079.0649433402
"Cell1273","Batch2","Group2",67013.1211678594
"Cell1274","Batch2","Group4",41327.661750264
"Cell1275","Batch2","Group1",54313.6430511656
"Cell1276","Batch2","Group3",57536.8592540168
"Cell1277","Batch2","Group2",84461.9408704473
"Cell1278","Batch2","Group3",49265.3812458153
"Cell1279","Batch2","Group1",35323.9979325342
"Cell1280","Batch2","Group2",67387.8417509704
"Cell1281","Batch2","Group3",50299.1151136744
"Cell1282","Batch2","Group4",62405.298548613
"Cell1283","Batch2","Group1",77554.834086157
"Cell1284","Batch2","Group2",61401.8353642087
"Cell1285","Batch2","Group4",40867.3403719741
"Cell1286","Batch2","Group3",66068.113178885
"Cell1287","Batch2","Group1",59805.9951824968
"Cell1288","Batch2","Group1",46051.0398727747
"Cell1289","Batch2","Group1",49975.2125669604
"Cell1290","Batch2","Group4",44622.5036965789
"Cell1291","Batch2","Group3",63333.4975989815
"Cell1292","Batch2","Group2",74493.4884164243
"Cell1293","Batch2","Group4",66689.8520363222
"Cell1294","Batch2","Group2",41234.3715878182
"Cell1295","Batch2","Group4",66796.9539429429
"Cell1296","Batch2","Group1",83108.494215843
"Cell1297","Batch2","Group4",54305.6089782947
"Cell1298","Batch2","Group1",67849.6359779842
"Cell1299","Batch2","Group1",59550.405679955
"Cell1300","Batch2","Group3",61443.6569803275
"Cell1301","Batch2","Group1",67130.5350650835
"Cell1302","Batch2","Group3",61561.7744718813
"Cell1303","Batch2","Group2",76884.6066779214
"Cell1304","Batch2","Group1",67075.0256157007
"Cell1305","Batch2","Group4",71757.8122007091
"Cell1306","Batch2","Group4",62172.6450982092
"Cell1307","Batch2","Group4",65105.8710024241
"Cell1308","Batch2","Group4",72368.2833520911
"Cell1309","Batch2","Group3",61455.5460347457
"Cell1310","Batch2","Group3",54228.9079782602
"Cell1311","Batch2","Group1",48062.2660312171
"Cell1312","Batch2","Group3",51882.3772224899
"Cell1313","Batch2","Group3",66816.8434359719
"Cell1314","Batch2","Group4",52068.6226109877
"Cell1315","Batch2","Group3",67570.3933623059
"Cell1316","Batch2","Group3",39996.4062838147
"Cell1317","Batch2","Group3",51146.9851367982
"Cell1318","Batch2","Group1",44907.35662204
"Cell1319","Batch2","Group2",52003.1328634701
"Cell1320","Batch2","Group3",68192.2780436652
"Cell1321","Batch2","Group1",80851.689066111
"Cell1322","Batch2","Group4",45292.6745709311
"Cell1323","Batch2","Group1",66129.2601748658
"Cell1324","Batch2","Group1",40108.1546407723
"Cell1325","Batch2","Group2",47733.0172153121
"Cell1326","Batch2","Group2",94502.0057087901
"Cell1327","Batch2","Group2",48732.3712128327
"Cell1328","Batch2","Group3",63342.4597061212
"Cell1329","Batch2","Group2",44897.7196859105
"Cell1330","Batch2","Group2",58712.1531640364
"Cell1331","Batch2","Group4",40891.6529025489
"Cell1332","Batch2","Group1",54493.1394450001
"Cell1333","Batch2","Group1",78474.1327244973
"Cell1334","Batch2","Group1",55673.2968897941
"Cell1335","Batch2","Group3",66825.366556073
"Cell1336","Batch2","Group3",46739.4299643632
"Cell1337","Batch2","Group3",63502.6577234103
"Cell1338","Batch2","Group1",58801.0863140805
"Cell1339","Batch2","Group3",53983.3798239367
"Cell1340","Batch2","Group2",68686.0955837062
"Cell1341","Batch2","Group4",62205.4156992018
"Cell1342","Batch2","Group4",77156.4488808141
"Cell1343","Batch2","Group1",58736.491806619
"Cell1344","Batch2","Group1",59828.6126548672
"Cell1345","Batch2","Group4",55799.1536384042
"Cell1346","Batch2","Group1",63651.1483323691
"Cell1347","Batch2","Group4",57450.509217498
"Cell1348","Batch2","Group1",51946.5423096982
"Cell1349","Batch2","Group3",52995.3947720845
"Cell1350","Batch2","Group2",76214.0808069723
"Cell1351","Batch2","Group1",66386.0423751928
"Cell1352","Batch2","Group2",55170.4800991901
"Cell1353","Batch2","Group3",60741.4613525207
"Cell1354","Batch2","Group2",45436.1308773272
"Cell1355","Batch2","Group3",73741.6364179852
"Cell1356","Batch2","Group4",59033.4289867667
"Cell1357","Batch2","Group2",43709.1904129271
"Cell1358","Batch2","Group3",45621.665307444
"Cell1359","Batch2","Group3",63355.0288202527
"Cell1360","Batch2","Group4",54660.9859709698
"Cell1361","Batch2","Group4",42562.8478593869
"Cell1362","Batch2","Group2",61810.5698603571
"Cell1363","Batch2","Group2",50563.6267446761
"Cell1364","Batch2","Group1",54480.8931614847
"Cell1365","Batch2","Group2",65677.3017031208
"Cell1366","Batch2","Group1",44530.0287504194
"Cell1367","Batch2","Group3",78003.7995562779
"Cell1368","Batch2","Group3",74636.6367943627
"Cell1369","Batch2","Group1",42549.7831720152
"Cell1370","Batch2","Group3",58877.0384333733
"Cell1371","Batch2","Group2",66579.4960724093
"Cell1372","Batch2","Group2",42821.2283551953
"Cell1373","Batch2","Group4",68368.6447971165
"Cell1374","Batch2","Group1",44906.1948943722
"Cell1375","Batch2","Group1",69832.6344044267
"Cell1376","Batch2","Group4",42237.8543364619
"Cell1377","Batch2","Group2",61344.644834195
"Cell1378","Batch2","Group2",73208.6768871859
"Cell1379","Batch2","Group1",69760.1641502841
"Cell1380","Batch2","Group1",66942.4719856224
"Cell1381","Batch2","Group4",63773.2899997425
"Cell1382","Batch2","Group3",61000.9498525824
"Cell1383","Batch2","Group4",54673.7120493557
"Cell1384","Batch2","Group2",50870.3137297574
"Cell1385","Batch2","Group1",53563.2977603945
"Cell1386","Batch2","Group1",66128.6061925592
"Cell1387","Batch2","Group4",66874.455947585
"Cell1388","Batch2","Group3",52350.4672829629
"Cell1389","Batch2","Group1",35546.2655587639
"Cell1390","Batch2","Group4",69512.5546534294
"Cell1391","Batch2","Group1",54953.5841245064
"Cell1392","Batch2","Group2",73856.9620845441
"Cell1393","Batch2","Group2",59948.5549360192
"Cell1394","Batch2","Group4",67832.8139598346
"Cell1395","Batch2","Group1",63690.8199648087
"Cell1396","Batch2","Group2",70615.3622994755
"Cell1397","Batch2","Group1",68759.2244345389
"Cell1398","Batch2","Group3",61570.8945679989
"Cell1399","Batch2","Group3",55681.4509749937
"Cell1400","Batch2","Group2",62015.3450992422
"Cell1401","Batch2","Group4",71855.5755434943
"Cell1402","Batch2","Group3",56643.5396537157
"Cell1403","Batch2","Group4",66931.9791073261
"Cell1404","Batch2","Group2",56550.2317994444
"Cell1405","Batch2","Group2",75883.18716159
"Cell1406","Batch2","Group2",57704.3935747389
"Cell1407","Batch2","Group1",60417.5752773828
"Cell1408","Batch2","Group1",65276.2893894554
"Cell1409","Batch2","Group4",57471.1936539246
"Cell1410","Batch2","Group1",69186.4435843542
"Cell1411","Batch2","Group3",57185.7487984691
"Cell1412","Batch2","Group3",74533.3042679074
"Cell1413","Batch2","Group1",66699.3149776121
"Cell1414","Batch2","Group2",55189.9920523228
"Cell1415","Batch2","Group4",50069.6252740255
"Cell1416","Batch2","Group3",59375.9904429948
"Cell1417","Batch2","Group1",60355.1039511259
"Cell1418","Batch2","Group3",58220.57977861
"Cell1419","Batch2","Group3",57724.7289475336
"Cell1420","Batch2","Group4",59406.2062787431
"Cell1421","Batch2","Group2",60595.5882865136
"Cell1422","Batch2","Group3",44747.3839734528
"Cell1423","Batch2","Group3",57757.4042959875
"Cell1424","Batch2","Group1",80756.6547728729
"Cell1425","Batch2","Group3",67800.5673411852
"Cell1426","Batch2","Group3",65941.8771764646
"Cell1427","Batch2","Group1",62513.0202551968
"Cell1428","Batch2","Group2",41705.5369715891
"Cell1429","Batch2","Group4",43499.6735590849
"Cell1430","Batch2","Group3",50131.6818923648
"Cell1431","Batch2","Group3",41670.9865965667
"Cell1432","Batch2","Group1",78029.7011123923
"Cell1433","Batch2","Group1",51622.7085235443
"Cell1434","Batch2","Group2",88447.292742621
"Cell1435","Batch2","Group3",71334.8348994744
"Cell1436","Batch2","Group3",55909.4598845336
"Cell1437","Batch2","Group2",71819.8182310958
"Cell1438","Batch2","Group1",45354.2947497417
"Cell1439","Batch2","Group2",70007.8679203164
"Cell1440","Batch2","Group3",60659.4503093355
"Cell1441","Batch2","Group2",47960.0147604849
"Cell1442","Batch2","Group4",51380.4375253711
"Cell1443","Batch2","Group4",60136.2575874048
"Cell1444","Batch2","Group3",59560.0877782026
"Cell1445","Batch2","Group2",50989.7484050076
"Cell1446","Batch2","Group1",53996.6389566247
"Cell1447","Batch2","Group1",64046.0408482894
"Cell1448","Batch2","Group3",59122.1189891735
"Cell1449","Batch2","Group3",66206.3282220911
"Cell1450","Batch2","Group4",65185.7888158084
"Cell1451","Batch2","Group3",54476.1775745114
"Cell1452","Batch2","Group2",70737.5817983713
"Cell1453","Batch2","Group3",66419.2839845788
"Cell1454","Batch2","Group3",93005.6111708753
"Cell1455","Batch2","Group3",80993.3017780219
"Cell1456","Batch2","Group1",59497.1235786241
"Cell1457","Batch2","Group1",60914.5399154411
"Cell1458","Batch2","Group1",47600.538068255
"Cell1459","Batch2","Group1",72157.2884627775
"Cell1460","Batch2","Group1",52079.2505546438
"Cell1461","Batch2","Group1",55792.2917019724
"Cell1462","Batch2","Group3",60267.1289684063
"Cell1463","Batch2","Group4",60789.0296124652
"Cell1464","Batch2","Group1",74443.0990487449
"Cell1465","Batch2","Group2",66134.5616186829
"Cell1466","Batch2","Group4",47555.8447980414
"Cell1467","Batch2","Group4",43834.3630158721
"Cell1468","Batch2","Group1",59530.5432775964
"Cell1469","Batch2","Group1",50964.9188072375
"Cell1470","Batch2","Group4",48472.0636402927
"Cell1471","Batch2","Group4",58828.4444180555
"Cell1472","Batch2","Group1",56894.9845430186
"Cell1473","Batch2","Group2",63217.8681287089
"Cell1474","Batch2","Group3",37484.5243824877
"Cell1475","Batch2","Group3",52299.4158546866
"Cell1476","Batch2","Group2",60959.7389239239
"Cell1477","Batch2","Group2",63804.0123908103
"Cell1478","Batch2","Group3",72718.8429006763
"Cell1479","Batch2","Group4",74957.1149159562
"Cell1480","Batch2","Group3",51157.1914671507
"Cell1481","Batch2","Group1",67737.3702651471
"Cell1482","Batch2","Group2",63541.2617879149
"Cell1483","Batch2","Group3",60665.6169256858
"Cell1484","Batch2","Group2",59183.0328405723
"Cell1485","Batch2","Group2",54987.240071037
"Cell1486","Batch2","Group4",61385.2847565527
"Cell1487","Batch2","Group1",48876.75801729
"Cell1488","Batch2","Group3",76124.3993559861
"Cell1489","Batch2","Group2",44292.6146998655
"Cell1490","Batch2","Group3",83664.2679844521
"Cell1491","Batch2","Group4",88857.3747224145
"Cell1492","Batch2","Group4",64117.4724943667
"Cell1493","Batch2","Group2",72712.0370930216
"Cell1494","Batch2","Group1",65794.5582586777
"Cell1495","Batch2","Group4",86828.7162685926
"Cell1496","Batch2","Group1",64849.3859161299
"Cell1497","Batch2","Group2",58348.4625494831
"Cell1498","Batch2","Group3",47446.3179167112
"Cell1499","Batch2","Group3",71738.2964091191
"Cell1500","Batch2","Group4",54796.0161067365
"Cell1501","Batch2","Group1",62430.1686207152
"Cell1502","Batch2","Group3",68033.1248478311
"Cell1503","Batch2","Group2",56348.1689506139
"Cell1504","Batch2","Group2",63326.3380523064
"Cell1505","Batch2","Group4",63594.0457407678
"Cell1506","Batch2","Group2",49109.4387785952
"Cell1507","Batch2","Group4",61269.2145582907
"Cell1508","Batch2","Group4",61731.5067475495
"Cell1509","Batch2","Group3",57734.6563546702
"Cell1510","Batch2","Group2",77156.48931305
"Cell1511","Batch2","Group2",38619.8043029485
"Cell1512","Batch2","Group4",61272.0336948849
"Cell1513","Batch2","Group3",62275.6493023862
"Cell1514","Batch2","Group2",53408.6848821162
"Cell1515","Batch2","Group1",72307.3455261747
"Cell1516","Batch2","Group4",65857.6927821019
"Cell1517","Batch2","Group2",51917.0341929363
"Cell1518","Batch2","Group2",50943.9323135648
"Cell1519","Batch2","Group2",78698.7378884613
"Cell1520","Batch2","Group4",51423.3500056188
"Cell1521","Batch2","Group4",60305.5417318617
"Cell1522","Batch2","Group3",55421.0758641726
"Cell1523","Batch2","Group2",58806.6329990475
"Cell1524","Batch2","Group2",49890.7081318402
"Cell1525","Batch2","Group1",54598.4933400065
"Cell1526","Batch2","Group1",72836.3717895603
"Cell1527","Batch2","Group4",90267.3653605746
"Cell1528","Batch2","Group1",71118.8821963729
"Cell1529","Batch2","Group1",59851.2216930443
"Cell1530","Batch2","Group1",73631.1678645193
"Cell1531","Batch2","Group2",39629.529811058
"Cell1532","Batch2","Group2",69389.0002461662
"Cell1533","Batch2","Group4",57581.3581587112
"Cell1534","Batch2","Group3",63036.3160330716
"Cell1535","Batch2","Group4",56653.069439511
"Cell1536","Batch2","Group4",55669.389152454
"Cell1537","Batch2","Group3",69292.8889911596
"Cell1538","Batch2","Group3",67112.428791044
"Cell1539","Batch2","Group3",57421.8547180393
"Cell1540","Batch2","Group3",46271.5884821172
"Cell1541","Batch2","Group3",57702.1843733724
"Cell1542","Batch2","Group2",55428.8006982644
"Cell1543","Batch2","Group4",48725.9856181353
"Cell1544","Batch2","Group3",59331.5281327773
"Cell1545","Batch2","Group4",50102.6908034734
"Cell1546","Batch2","Group4",64233.8312502966
"Cell1547","Batch2","Group4",63592.63389633
"Cell1548","Batch2","Group3",41232.0524554503
"Cell1549","Batch2","Group1",44230.9365011299
"Cell1550","Batch2","Group2",45930.0113288135
"Cell1551","Batch2","Group3",54442.6757444612
"Cell1552","Batch2","Group4",42635.1429892985
"Cell1553","Batch2","Group3",72737.4019854186
"Cell1554","Batch2","Group2",69320.4491815553
"Cell1555","Batch2","Group1",62423.3528429025
"Cell1556","Batch2","Group2",36869.9784169674
"Cell1557","Batch2","Group2",47704.0760932594
"Cell1558","Batch2","Group4",63782.4361205214
"Cell1559","Batch2","Group2",65571.4669449549
"Cell1560","Batch2","Group4",54410.9408328734
"Cell1561","Batch2","Group2",66972.6767722392
"Cell1562","Batch2","Group1",64256.8047914446
"Cell1563","Batch2","Group2",53235.7532756533
"Cell1564","Batch2","Group4",70342.6480844661
"Cell1565","Batch2","Group3",71175.8451369613
"Cell1566","Batch2","Group4",48575.3747479149
"Cell1567","Batch2","Group1",50751.6668089
"Cell1568","Batch2","Group1",49506.3732997038
"Cell1569","Batch2","Group4",67817.4570794181
"Cell1570","Batch2","Group1",69041.500113697
"Cell1571","Batch2","Group1",52109.8988687359
"Cell1572","Batch2","Group4",54363.5403624113
"Cell1573","Batch2","Group1",46318.046626767
"Cell1574","Batch2","Group4",61597.8529691447
"Cell1575","Batch2","Group1",67983.563909871
"Cell1576","Batch2","Group1",38399.2872539318
"Cell1577","Batch2","Group4",63175.4974362516
"Cell1578","Batch2","Group4",69217.9263387803
"Cell1579","Batch2","Group1",59805.6349392059
"Cell1580","Batch2","Group2",80344.6006884657
"Cell1581","Batch2","Group4",71889.8942502022
"Cell1582","Batch2","Group4",56130.7394054281
"Cell1583","Batch2","Group2",64936.8842678182
"Cell1584","Batch2","Group1",53106.0765007652
"Cell1585","Batch2","Group4",67891.346259374
"Cell1586","Batch2","Group1",60253.3355936317
"Cell1587","Batch2","Group2",81520.3813610161
"Cell1588","Batch2","Group2",61056.4673983662
"Cell1589","Batch2","Group3",58369.7932242965
"Cell1590","Batch2","Group2",50261.742210847
"Cell1591","Batch2","Group2",54287.8743875898
"Cell1592","Batch2","Group4",61787.3049366602
"Cell1593","Batch2","Group4",60327.9507901843
"Cell1594","Batch2","Group1",54499.4360429919
"Cell1595","Batch2","Group2",52407.9224795385
"Cell1596","Batch2","Group4",46975.6411473197
"Cell1597","Batch2","Group1",67269.6329619318
"Cell1598","Batch2","Group4",47489.7175760293
"Cell1599","Batch2","Group3",54208.9969365772
"Cell1600","Batch2","Group4",48496.5208924643
"Cell1601","Batch2","Group1",45140.4697210858
"Cell1602","Batch2","Group4",72884.8570229197
"Cell1603","Batch2","Group4",64229.7667289369
"Cell1604","Batch2","Group1",77771.4011443331
"Cell1605","Batch2","Group4",66080.9646987893
"Cell1606","Batch2","Group2",54286.6744756099
"Cell1607","Batch2","Group4",54567.9724327752
"Cell1608","Batch2","Group3",56392.2465395086
"Cell1609","Batch2","Group4",55400.4902423465
"Cell1610","Batch2","Group2",62796.3401814625
"Cell1611","Batch2","Group3",59464.8161509658
"Cell1612","Batch2","Group3",60336.4551337851
"Cell1613","Batch2","Group4",66357.8079767205
"Cell1614","Batch2","Group4",61774.459752602
"Cell1615","Batch2","Group3",61546.7321366747
"Cell1616","Batch2","Group2",64168.9063569894
"Cell1617","Batch2","Group3",62798.7189650041
"Cell1618","Batch2","Group2",94435.5396818026
"Cell1619","Batch2","Group2",76764.0033622105
"Cell1620","Batch2","Group1",81890.5370866351
"Cell1621","Batch2","Group1",61753.5723929037
"Cell1622","Batch2","Group3",48745.9080215478
"Cell1623","Batch2","Group1",52456.2433883014
"Cell1624","Batch2","Group4",59048.9763373936
"Cell1625","Batch2","Group4",67693.8607413804
"Cell1626","Batch2","Group1",69886.5494598933
"Cell1627","Batch2","Group2",44312.728002047
"Cell1628","Batch2","Group4",56926.2462905621
"Cell1629","Batch2","Group1",62600.2474113087
"Cell1630","Batch2","Group3",45460.0321497829
"Cell1631","Batch2","Group2",57327.1574335265
"Cell1632","Batch2","Group3",69953.3598340085
"Cell1633","Batch2","Group4",55910.4913323736
"Cell1634","Batch2","Group3",69076.3153820772
"Cell1635","Batch2","Group4",74404.9940851515
"Cell1636","Batch2","Group3",65000.9225137266
"Cell1637","Batch2","Group4",56266.5969784983
"Cell1638","Batch2","Group2",72458.7465621981
"Cell1639","Batch2","Group3",44173.2292792131
"Cell1640","Batch2","Group4",57896.820822768
"Cell1641","Batch2","Group1",58935.4180336474
"Cell1642","Batch2","Group4",82421.1159222442
"Cell1643","Batch2","Group2",57250.5750334989
"Cell1644","Batch2","Group1",43690.6752740376
"Cell1645","Batch2","Group3",59529.2450646036
"Cell1646","Batch2","Group4",53919.2618529084
"Cell1647","Batch2","Group1",58280.1588123012
"Cell1648","Batch2","Group3",63420.8806401145
"Cell1649","Batch2","Group4",64949.521748872
"Cell1650","Batch2","Group4",60529.1726502534
"Cell1651","Batch2","Group1",106271.638068791
"Cell1652","Batch2","Group4",39203.8687427825
"Cell1653","Batch2","Group1",52384.6480261515
"Cell1654","Batch2","Group3",60843.4925091391
"Cell1655","Batch2","Group1",41333.9312386641
"Cell1656","Batch2","Group3",42062.0326235491
"Cell1657","Batch2","Group2",105531.137568968
"Cell1658","Batch2","Group3",60509.6056352669
"Cell1659","Batch2","Group1",43907.3331282858
"Cell1660","Batch2","Group4",58001.5154781908
"Cell1661","Batch2","Group3",60864.6608445565
"Cell1662","Batch2","Group3",62324.5434092514
"Cell1663","Batch2","Group2",67507.4331767975
"Cell1664","Batch2","Group1",59691.6286443807
"Cell1665","Batch2","Group4",52677.6211765358
"Cell1666","Batch2","Group2",63543.6442605656
"Cell1667","Batch2","Group1",62630.1056029152
"Cell1668","Batch2","Group4",49464.3100066074
"Cell1669","Batch2","Group2",40264.9696859128
"Cell1670","Batch2","Group1",70476.7566217028
"Cell1671","Batch2","Group3",68253.7863481354
"Cell1672","Batch2","Group3",64144.9643413474
"Cell1673","Batch2","Group3",57654.3188623206
"Cell1674","Batch2","Group2",71362.5362558807
"Cell1675","Batch2","Group4",73670.2297609776
"Cell1676","Batch2","Group2",84641.7400908684
"Cell1677","Batch2","Group4",58260.4752135518
"Cell1678","Batch2","Group1",67680.9303415461
"Cell1679","Batch2","Group1",66117.4787522361
"Cell1680","Batch2","Group3",57291.0993706687
"Cell1681","Batch2","Group1",53510.1265148034
"Cell1682","Batch2","Group2",67553.2803077816
"Cell1683","Batch2","Group1",65281.1509733624
"Cell1684","Batch2","Group1",53861.6277536293
"Cell1685","Batch2","Group1",66763.2499197539
"Cell1686","Batch2","Group4",61713.9812642526
"Cell1687","Batch2","Group3",67443.4614972706
"Cell1688","Batch2","Group3",51644.0376527619
"Cell1689","Batch2","Group2",63406.8723757223
"Cell1690","Batch2","Group4",55175.3285140065
"Cell1691","Batch2","Group3",70717.1987294945
"Cell1692","Batch2","Group2",59595.6901877757
"Cell1693","Batch2","Group3",64626.8900696015
"Cell1694","Batch2","Group4",100480.066980502
"Cell1695","Batch2","Group3",44106.8824234259
"Cell1696","Batch2","Group1",50568.4278324504
"Cell1697","Batch2","Group1",49817.1554129024
"Cell1698","Batch2","Group1",45214.7094369407
"Cell1699","Batch2","Group2",44119.0665349709
"Cell1700","Batch2","Group4",58816.5200452224
"Cell1701","Batch2","Group4",70984.7441987381
"Cell1702","Batch2","Group4",40356.6054120406
"Cell1703","Batch2","Group3",68224.5918454085
"Cell1704","Batch2","Group1",45507.107115348
"Cell1705","Batch2","Group3",60847.3975022982
"Cell1706","Batch2","Group3",65347.7596559897
"Cell1707","Batch2","Group1",63193.9549246735
"Cell1708","Batch2","Group1",53519.5081581735
"Cell1709","Batch2","Group1",47039.4746505231
"Cell1710","Batch2","Group1",68773.9679740768
"Cell1711","Batch2","Group4",54048.0174987012
"Cell1712","Batch2","Group3",52636.7266176388
"Cell1713","Batch2","Group3",88578.2260516742
"Cell1714","Batch2","Group3",57438.1228505361
"Cell1715","Batch2","Group1",57910.3480284797
"Cell1716","Batch2","Group4",65746.0392737492
"Cell1717","Batch2","Group3",62722.2986745179
"Cell1718","Batch2","Group3",41622.120095749
"Cell1719","Batch2","Group4",54177.3535640217
"Cell1720","Batch2","Group1",50887.9960302152
"Cell1721","Batch2","Group1",60614.2441281156
"Cell1722","Batch2","Group4",38549.1744667469
"Cell1723","Batch2","Group3",60360.0746469771
"Cell1724","Batch2","Group4",64808.4576469178
"Cell1725","Batch2","Group1",46439.360497359
"Cell1726","Batch2","Group4",55965.6041347288
"Cell1727","Batch2","Group3",77353.2467431606
"Cell1728","Batch2","Group1",75158.7566429249
"Cell1729","Batch2","Group2",42719.4320214446
"Cell1730","Batch2","Group3",76721.9510277712
"Cell1731","Batch2","Group3",59604.8341139209
"Cell1732","Batch2","Group3",67196.6456503972
"Cell1733","Batch2","Group4",66306.4693004
"Cell1734","Batch2","Group2",64562.6301059915
"Cell1735","Batch2","Group3",68078.6381597469
"Cell1736","Batch2","Group2",46403.4177726818
"Cell1737","Batch2","Group3",57449.4238467685
"Cell1738","Batch2","Group4",67620.6309508411
"Cell1739","Batch2","Group2",57787.1937703238
"Cell1740","Batch2","Group1",43772.0121378284
"Cell1741","Batch2","Group1",63813.8993298956
"Cell1742","Batch2","Group1",57978.1434392666
"Cell1743","Batch2","Group3",58574.9104876461
"Cell1744","Batch2","Group4",40297.2952680935
"Cell1745","Batch2","Group4",81270.9432640492
"Cell1746","Batch2","Group4",69919.3322843967
"Cell1747","Batch2","Group1",79430.5888655411
"Cell1748","Batch2","Group4",56476.3631667208
"Cell1749","Batch2","Group3",74519.640076465
"Cell1750","Batch2","Group1",54818.7689025816
"Cell1751","Batch2","Group1",52246.1958575155
"Cell1752","Batch2","Group1",73206.8654751857
"Cell1753","Batch2","Group3",47764.2779374995
"Cell1754","Batch2","Group1",73847.4886784305
"Cell1755","Batch2","Group3",59220.8896374442
"Cell1756","Batch2","Group4",51204.5564149897
"Cell1757","Batch2","Group1",64176.9905359175
"Cell1758","Batch2","Group4",54936.0584943945
"Cell1759","Batch2","Group1",66735.4239003067
"Cell1760","Batch2","Group3",57487.2834640918
"Cell1761","Batch2","Group2",50408.1268983412
"Cell1762","Batch2","Group2",71548.8031971184
"Cell1763","Batch2","Group2",52201.0264546275
"Cell1764","Batch2","Group2",59861.9016095954
"Cell1765","Batch2","Group4",65243.2886589239
"Cell1766","Batch2","Group1",63136.6294976163
"Cell1767","Batch2","Group1",47409.5768189515
"Cell1768","Batch2","Group4",65601.7687608103
"Cell1769","Batch2","Group3",64919.2208775139
"Cell1770","Batch2","Group3",54466.4859156538
"Cell1771","Batch2","Group2",63281.0515552685
"Cell1772","Batch2","Group2",78760.6116603374
"Cell1773","Batch2","Group1",55472.9746991911
"Cell1774","Batch2","Group4",76600.8452760757
"Cell1775","Batch2","Group1",49919.1960668667
"Cell1776","Batch2","Group3",58458.4550464369
"Cell1777","Batch2","Group4",65405.4441912268
"Cell1778","Batch2","Group2",38834.6372111481
"Cell1779","Batch2","Group4",50443.994427386
"Cell1780","Batch2","Group1",51636.4039537886
"Cell1781","Batch2","Group3",48483.6510077344
"Cell1782","Batch2","Group4",57609.4778364142
"Cell1783","Batch2","Group1",62041.2830321163
"Cell1784","Batch2","Group3",58520.1810164176
"Cell1785","Batch2","Group2",82949.3535750941
"Cell1786","Batch2","Group2",56432.4480739218
"Cell1787","Batch2","Group4",70464.7589245432
"Cell1788","Batch2","Group4",49234.3641708099
"Cell1789","Batch2","Group3",60815.9233284313
"Cell1790","Batch2","Group2",48455.9098384266
"Cell1791","Batch2","Group2",68904.5984105912
"Cell1792","Batch2","Group1",86149.5279892749
"Cell1793","Batch2","Group3",57675.9841608802
"Cell1794","Batch2","Group1",59133.4633912658
