,cell_type,batch,batch_from_meta
dropseq_CELL_000136,H1975,dropseq,dropseq
dropseq_CELL_000137,HCC827,dropseq,dropseq
dropseq_CELL_000138,H2228,dropseq,dropseq
dropseq_CELL_000139,H1975,dropseq,dropseq
dropseq_CELL_000140,H2228,dropseq,dropseq
dropseq_CELL_000141,H1975,dropseq,dropseq
dropseq_CELL_000142,H1975,dropseq,dropseq
dropseq_CELL_000143,HCC827,dropseq,dropseq
dropseq_CELL_000145,H1975,dropseq,dropseq
dropseq_CELL_000146,H1975,dropseq,dropseq
dropseq_CELL_000147,H1975,dropseq,dropseq
dropseq_CELL_000148,H1975,dropseq,dropseq
dropseq_CELL_000149,H1975,dropseq,dropseq
dropseq_CELL_000150,H2228,dropseq,dropseq
dropseq_CELL_000151,H1975,dropseq,dropseq
dropseq_CELL_000152,H1975,dropseq,dropseq
dropseq_CELL_000153,HCC827,dropseq,dropseq
dropseq_CELL_000154,HCC827,dropseq,dropseq
dropseq_CELL_000155,HCC827,dropseq,dropseq
dropseq_CELL_000156,H2228,dropseq,dropseq
dropseq_CELL_000157,H2228,dropseq,dropseq
dropseq_CELL_000158,H1975,dropseq,dropseq
dropseq_CELL_000159,H1975,dropseq,dropseq
dropseq_CELL_000160,H1975,dropseq,dropseq
dropseq_CELL_000161,HCC827,dropseq,dropseq
dropseq_CELL_000162,HCC827,dropseq,dropseq
dropseq_CELL_000163,H2228,dropseq,dropseq
dropseq_CELL_000164,H1975,dropseq,dropseq
dropseq_CELL_000165,H2228,dropseq,dropseq
dropseq_CELL_000166,HCC827,dropseq,dropseq
dropseq_CELL_000167,H2228,dropseq,dropseq
dropseq_CELL_000168,H1975,dropseq,dropseq
dropseq_CELL_000169,H2228,dropseq,dropseq
dropseq_CELL_000170,H1975,dropseq,dropseq
dropseq_CELL_000171,H1975,dropseq,dropseq
dropseq_CELL_000172,H2228,dropseq,dropseq
dropseq_CELL_000173,H1975,dropseq,dropseq
dropseq_CELL_000174,H2228,dropseq,dropseq
dropseq_CELL_000175,H1975,dropseq,dropseq
dropseq_CELL_000176,H2228,dropseq,dropseq
dropseq_CELL_000177,H1975,dropseq,dropseq
dropseq_CELL_000178,HCC827,dropseq,dropseq
dropseq_CELL_000179,HCC827,dropseq,dropseq
dropseq_CELL_000180,H2228,dropseq,dropseq
dropseq_CELL_000182,H2228,dropseq,dropseq
dropseq_CELL_000183,H2228,dropseq,dropseq
dropseq_CELL_000184,H2228,dropseq,dropseq
dropseq_CELL_000185,H2228,dropseq,dropseq
dropseq_CELL_000186,H2228,dropseq,dropseq
dropseq_CELL_000187,H1975,dropseq,dropseq
dropseq_CELL_000188,HCC827,dropseq,dropseq
dropseq_CELL_000189,H2228,dropseq,dropseq
dropseq_CELL_000190,H1975,dropseq,dropseq
dropseq_CELL_000191,H1975,dropseq,dropseq
dropseq_CELL_000192,H1975,dropseq,dropseq
dropseq_CELL_000193,HCC827,dropseq,dropseq
dropseq_CELL_000194,HCC827,dropseq,dropseq
dropseq_CELL_000195,H1975,dropseq,dropseq
dropseq_CELL_000196,H2228,dropseq,dropseq
dropseq_CELL_000197,H1975,dropseq,dropseq
dropseq_CELL_000198,H2228,dropseq,dropseq
dropseq_CELL_000199,H1975,dropseq,dropseq
dropseq_CELL_000200,H1975,dropseq,dropseq
dropseq_CELL_000201,H2228,dropseq,dropseq
dropseq_CELL_000203,H1975,dropseq,dropseq
dropseq_CELL_000205,H1975,dropseq,dropseq
dropseq_CELL_000206,H1975,dropseq,dropseq
dropseq_CELL_000207,HCC827,dropseq,dropseq
dropseq_CELL_000208,H2228,dropseq,dropseq
dropseq_CELL_000210,H1975,dropseq,dropseq
dropseq_CELL_000211,HCC827,dropseq,dropseq
dropseq_CELL_000213,H1975,dropseq,dropseq
dropseq_CELL_000214,H1975,dropseq,dropseq
dropseq_CELL_000216,H2228,dropseq,dropseq
dropseq_CELL_000217,H2228,dropseq,dropseq
dropseq_CELL_000218,H1975,dropseq,dropseq
dropseq_CELL_000219,H2228,dropseq,dropseq
dropseq_CELL_000220,H1975,dropseq,dropseq
dropseq_CELL_000221,H1975,dropseq,dropseq
dropseq_CELL_000222,H1975,dropseq,dropseq
dropseq_CELL_000225,H1975,dropseq,dropseq
dropseq_CELL_000227,H1975,dropseq,dropseq
dropseq_CELL_000228,H1975,dropseq,dropseq
dropseq_CELL_000229,H1975,dropseq,dropseq
dropseq_CELL_000230,H1975,dropseq,dropseq
dropseq_CELL_000231,H1975,dropseq,dropseq
dropseq_CELL_000233,H1975,dropseq,dropseq
dropseq_CELL_000237,H1975,dropseq,dropseq
dropseq_CELL_000238,H1975,dropseq,dropseq
dropseq_CELL_000246,H2228,dropseq,dropseq
dropseq_CELL_000249,H1975,dropseq,dropseq
dropseq_CELL_000302,HCC827,dropseq,dropseq
