Cell,cell_type,batch
Cell11557,Group5,Batch5
Cell11558,Group3,Batch5
Cell11559,Group10,Batch5
Cell11560,Group3,Batch5
Cell11561,Group5,Batch5
Cell11562,Group4,Batch5
Cell11563,Group7,Batch5
Cell11564,Group9,Batch5
Cell11565,Group7,Batch5
Cell11566,Group3,Batch5
Cell11567,Group3,Batch5
Cell11568,Group6,Batch5
Cell11569,Group7,Batch5
Cell11570,Group4,Batch5
Cell11571,Group1,Batch5
Cell11572,Group6,Batch5
Cell11573,Group1,Batch5
Cell11574,Group5,Batch5
Cell11575,Group1,Batch5
Cell11576,Group10,Batch5
Cell11577,Group10,Batch5
Cell11578,Group6,Batch5
Cell11579,Group5,Batch5
Cell11580,Group5,Batch5
Cell11581,Group5,Batch5
Cell11582,Group4,Batch5
Cell11583,Group5,Batch5
Cell11584,Group10,Batch5
Cell11585,Group8,Batch5
Cell11586,Group6,Batch5
Cell11587,Group8,Batch5
Cell11588,Group8,Batch5
Cell11589,Group7,Batch5
Cell11590,Group2,Batch5
Cell11591,Group7,Batch5
Cell11592,Group7,Batch5
Cell11593,Group3,Batch5
Cell11594,Group9,Batch5
Cell11595,Group10,Batch5
Cell11596,Group10,Batch5
Cell11597,Group10,Batch5
Cell11598,Group1,Batch5
Cell11599,Group1,Batch5
Cell11600,Group6,Batch5
Cell11601,Group5,Batch5
Cell11602,Group10,Batch5
Cell11603,Group5,Batch5
Cell11604,Group8,Batch5
Cell11605,Group10,Batch5
Cell11606,Group8,Batch5
Cell11607,Group7,Batch5
Cell11608,Group2,Batch5
Cell11609,Group4,Batch5
Cell11610,Group6,Batch5
Cell11611,Group3,Batch5
Cell11612,Group6,Batch5
Cell11613,Group5,Batch5
Cell11614,Group2,Batch5
Cell11615,Group5,Batch5
Cell11616,Group3,Batch5
Cell11617,Group1,Batch5
Cell11618,Group7,Batch5
Cell11619,Group5,Batch5
Cell11620,Group5,Batch5
Cell11621,Group5,Batch5
Cell11622,Group6,Batch5
Cell11623,Group7,Batch5
Cell11624,Group1,Batch5
Cell11625,Group6,Batch5
Cell11626,Group7,Batch5
Cell11627,Group10,Batch5
Cell11628,Group6,Batch5
Cell11629,Group7,Batch5
Cell11630,Group2,Batch5
Cell11631,Group3,Batch5
Cell11632,Group6,Batch5
Cell11633,Group5,Batch5
Cell11634,Group1,Batch5
Cell11635,Group3,Batch5
Cell11636,Group5,Batch5
Cell11637,Group5,Batch5
Cell11638,Group7,Batch5
Cell11639,Group8,Batch5
Cell11640,Group10,Batch5
Cell11641,Group3,Batch5
Cell11642,Group7,Batch5
Cell11643,Group2,Batch5
Cell11644,Group5,Batch5
Cell11645,Group2,Batch5
Cell11646,Group1,Batch5
Cell11647,Group2,Batch5
Cell11648,Group7,Batch5
Cell11649,Group10,Batch5
Cell11650,Group2,Batch5
Cell11651,Group1,Batch5
Cell11652,Group1,Batch5
Cell11653,Group2,Batch5
Cell11654,Group2,Batch5
Cell11655,Group2,Batch5
Cell11656,Group8,Batch5
Cell11657,Group2,Batch5
Cell11658,Group6,Batch5
Cell11659,Group7,Batch5
Cell11660,Group10,Batch5
Cell11661,Group3,Batch5
Cell11662,Group10,Batch5
Cell11663,Group10,Batch5
Cell11664,Group5,Batch5
Cell11665,Group7,Batch5
Cell11666,Group10,Batch5
Cell11667,Group9,Batch5
Cell11668,Group8,Batch5
Cell11669,Group7,Batch5
Cell11670,Group3,Batch5
Cell11671,Group7,Batch5
Cell11672,Group6,Batch5
Cell11673,Group4,Batch5
Cell11674,Group1,Batch5
Cell11675,Group3,Batch5
Cell11676,Group1,Batch5
Cell11677,Group3,Batch5
Cell11678,Group7,Batch5
Cell11679,Group6,Batch5
Cell11680,Group1,Batch5
Cell11681,Group2,Batch5
Cell11682,Group7,Batch5
Cell11683,Group9,Batch5
Cell11684,Group3,Batch5
Cell11685,Group1,Batch5
Cell11686,Group2,Batch5
Cell11687,Group9,Batch5
Cell11688,Group7,Batch5
Cell11689,Group9,Batch5
Cell11690,Group6,Batch5
Cell11691,Group8,Batch5
Cell11692,Group8,Batch5
Cell11693,Group5,Batch5
Cell11694,Group2,Batch5
Cell11695,Group1,Batch5
Cell11696,Group2,Batch5
Cell11697,Group3,Batch5
Cell11698,Group7,Batch5
Cell11699,Group7,Batch5
Cell11700,Group1,Batch5
Cell11701,Group3,Batch5
Cell11702,Group10,Batch5
Cell11703,Group7,Batch5
Cell11704,Group7,Batch5
Cell11705,Group8,Batch5
Cell11706,Group6,Batch5
Cell11707,Group8,Batch5
Cell11708,Group6,Batch5
Cell11709,Group1,Batch5
Cell11710,Group5,Batch5
Cell11711,Group6,Batch5
Cell11712,Group8,Batch5
Cell11713,Group2,Batch5
Cell11714,Group7,Batch5
Cell11715,Group1,Batch5
Cell11716,Group7,Batch5
Cell11717,Group5,Batch5
Cell11718,Group9,Batch5
Cell11719,Group6,Batch5
Cell11720,Group2,Batch5
Cell11721,Group2,Batch5
Cell11722,Group7,Batch5
Cell11723,Group10,Batch5
Cell11724,Group9,Batch5
Cell11725,Group1,Batch5
Cell11726,Group5,Batch5
Cell11727,Group8,Batch5
Cell11728,Group1,Batch5
Cell11729,Group10,Batch5
Cell11730,Group4,Batch5
Cell11731,Group1,Batch5
Cell11732,Group7,Batch5
Cell11733,Group3,Batch5
Cell11734,Group7,Batch5
Cell11735,Group9,Batch5
Cell11736,Group1,Batch5
Cell11737,Group2,Batch5
Cell11738,Group6,Batch5
Cell11739,Group5,Batch5
Cell11740,Group9,Batch5
Cell11741,Group10,Batch5
Cell11742,Group7,Batch5
Cell11743,Group1,Batch5
Cell11744,Group1,Batch5
Cell11745,Group5,Batch5
Cell11746,Group5,Batch5
Cell11747,Group1,Batch5
Cell11748,Group1,Batch5
Cell11749,Group7,Batch5
Cell11750,Group7,Batch5
Cell11751,Group7,Batch5
Cell11752,Group7,Batch5
Cell11753,Group6,Batch5
Cell11754,Group7,Batch5
Cell11755,Group7,Batch5
Cell11756,Group7,Batch5
Cell11757,Group2,Batch5
Cell11758,Group7,Batch5
Cell11759,Group10,Batch5
Cell11760,Group8,Batch5
Cell11761,Group2,Batch5
Cell11762,Group7,Batch5
Cell11763,Group4,Batch5
Cell11764,Group1,Batch5
Cell11765,Group5,Batch5
Cell11766,Group4,Batch5
Cell11767,Group1,Batch5
Cell11768,Group2,Batch5
Cell11769,Group6,Batch5
Cell11770,Group3,Batch5
Cell11771,Group5,Batch5
Cell11772,Group9,Batch5
Cell11773,Group9,Batch5
Cell11774,Group3,Batch5
Cell11775,Group8,Batch5
Cell11776,Group8,Batch5
Cell11777,Group10,Batch5
Cell11778,Group1,Batch5
Cell11779,Group5,Batch5
Cell11780,Group3,Batch5
Cell11781,Group1,Batch5
Cell11782,Group1,Batch5
Cell11783,Group5,Batch5
Cell11784,Group6,Batch5
Cell11785,Group7,Batch5
Cell11786,Group6,Batch5
Cell11787,Group8,Batch5
Cell11788,Group1,Batch5
Cell11789,Group7,Batch5
Cell11790,Group3,Batch5
Cell11791,Group2,Batch5
Cell11792,Group9,Batch5
Cell11793,Group10,Batch5
Cell11794,Group5,Batch5
Cell11795,Group7,Batch5
Cell11796,Group9,Batch5
Cell11797,Group7,Batch5
Cell11798,Group7,Batch5
Cell11799,Group8,Batch5
Cell11800,Group10,Batch5
Cell11801,Group3,Batch5
Cell11802,Group1,Batch5
Cell11803,Group5,Batch5
Cell11804,Group7,Batch5
Cell11805,Group5,Batch5
Cell11806,Group3,Batch5
Cell11807,Group6,Batch5
Cell11808,Group5,Batch5
Cell11809,Group8,Batch5
Cell11810,Group10,Batch5
Cell11811,Group7,Batch5
Cell11812,Group1,Batch5
Cell11813,Group2,Batch5
Cell11814,Group9,Batch5
Cell11815,Group3,Batch5
Cell11816,Group1,Batch5
Cell11817,Group5,Batch5
Cell11818,Group2,Batch5
Cell11819,Group5,Batch5
Cell11820,Group8,Batch5
Cell11821,Group4,Batch5
Cell11822,Group7,Batch5
Cell11823,Group10,Batch5
Cell11824,Group3,Batch5
Cell11825,Group3,Batch5
Cell11826,Group9,Batch5
Cell11827,Group3,Batch5
Cell11828,Group1,Batch5
Cell11829,Group8,Batch5
Cell11830,Group7,Batch5
Cell11831,Group8,Batch5
Cell11832,Group10,Batch5
Cell11833,Group3,Batch5
Cell11834,Group6,Batch5
Cell11835,Group5,Batch5
Cell11836,Group2,Batch5
Cell11837,Group5,Batch5
Cell11838,Group5,Batch5
Cell11839,Group10,Batch5
Cell11840,Group8,Batch5
Cell11841,Group3,Batch5
Cell11842,Group8,Batch5
Cell11843,Group2,Batch5
Cell11844,Group8,Batch5
Cell11845,Group9,Batch5
Cell11846,Group1,Batch5
Cell11847,Group1,Batch5
Cell11848,Group1,Batch5
Cell11849,Group3,Batch5
Cell11850,Group7,Batch5
Cell11851,Group2,Batch5
Cell11852,Group2,Batch5
Cell11853,Group5,Batch5
Cell11854,Group3,Batch5
Cell11855,Group7,Batch5
Cell11856,Group3,Batch5
Cell11857,Group2,Batch5
Cell11858,Group8,Batch5
Cell11859,Group2,Batch5
Cell11860,Group5,Batch5
Cell11861,Group4,Batch5
Cell11862,Group2,Batch5
Cell11863,Group8,Batch5
Cell11864,Group1,Batch5
Cell11865,Group8,Batch5
Cell11866,Group9,Batch5
Cell11867,Group3,Batch5
Cell11868,Group9,Batch5
Cell11869,Group8,Batch5
Cell11870,Group10,Batch5
Cell11871,Group4,Batch5
Cell11872,Group9,Batch5
Cell11873,Group10,Batch5
Cell11874,Group5,Batch5
Cell11875,Group1,Batch5
Cell11876,Group3,Batch5
Cell11877,Group7,Batch5
Cell11878,Group3,Batch5
Cell11879,Group5,Batch5
Cell11880,Group5,Batch5
Cell11881,Group10,Batch5
Cell11882,Group3,Batch5
Cell11883,Group5,Batch5
Cell11884,Group8,Batch5
Cell11885,Group8,Batch5
Cell11886,Group7,Batch5
Cell11887,Group1,Batch5
Cell11888,Group4,Batch5
Cell11889,Group4,Batch5
Cell11890,Group5,Batch5
Cell11891,Group5,Batch5
Cell11892,Group7,Batch5
Cell11893,Group2,Batch5
Cell11894,Group3,Batch5
Cell11895,Group2,Batch5
Cell11896,Group9,Batch5
Cell11897,Group4,Batch5
Cell11898,Group5,Batch5
Cell11899,Group1,Batch5
Cell11900,Group9,Batch5
Cell11901,Group6,Batch5
Cell11902,Group8,Batch5
Cell11903,Group4,Batch5
Cell11904,Group8,Batch5
Cell11905,Group7,Batch5
Cell11906,Group1,Batch5
Cell11907,Group3,Batch5
Cell11908,Group4,Batch5
Cell11909,Group2,Batch5
Cell11910,Group8,Batch5
Cell11911,Group9,Batch5
Cell11912,Group1,Batch5
Cell11913,Group1,Batch5
Cell11914,Group1,Batch5
Cell11915,Group5,Batch5
Cell11916,Group2,Batch5
Cell11917,Group9,Batch5
Cell11918,Group3,Batch5
Cell11919,Group5,Batch5
Cell11920,Group7,Batch5
Cell11921,Group7,Batch5
Cell11922,Group5,Batch5
Cell11923,Group4,Batch5
Cell11924,Group5,Batch5
Cell11925,Group8,Batch5
Cell11926,Group5,Batch5
Cell11927,Group10,Batch5
Cell11928,Group7,Batch5
Cell11929,Group8,Batch5
Cell11930,Group2,Batch5
Cell11931,Group1,Batch5
Cell11932,Group1,Batch5
Cell11933,Group7,Batch5
Cell11934,Group1,Batch5
Cell11935,Group3,Batch5
Cell11936,Group9,Batch5
Cell11937,Group8,Batch5
Cell11938,Group1,Batch5
Cell11939,Group5,Batch5
Cell11940,Group6,Batch5
Cell11941,Group4,Batch5
Cell11942,Group5,Batch5
Cell11943,Group8,Batch5
Cell11944,Group9,Batch5
Cell11945,Group10,Batch5
Cell11946,Group6,Batch5
Cell11947,Group3,Batch5
Cell11948,Group6,Batch5
Cell11949,Group2,Batch5
Cell11950,Group10,Batch5
Cell11951,Group3,Batch5
Cell11952,Group1,Batch5
Cell11953,Group9,Batch5
Cell11954,Group7,Batch5
Cell11955,Group8,Batch5
Cell11956,Group1,Batch5
Cell11957,Group8,Batch5
Cell11958,Group5,Batch5
Cell11959,Group8,Batch5
Cell11960,Group6,Batch5
Cell11961,Group6,Batch5
Cell11962,Group10,Batch5
Cell11963,Group8,Batch5
Cell11964,Group1,Batch5
Cell11965,Group1,Batch5
Cell11966,Group5,Batch5
Cell11967,Group5,Batch5
Cell11968,Group7,Batch5
Cell11969,Group3,Batch5
Cell11970,Group10,Batch5
Cell11971,Group7,Batch5
Cell11972,Group3,Batch5
Cell11973,Group7,Batch5
Cell11974,Group4,Batch5
Cell11975,Group4,Batch5
Cell11976,Group2,Batch5
Cell11977,Group1,Batch5
Cell11978,Group10,Batch5
Cell11979,Group10,Batch5
Cell11980,Group10,Batch5
Cell11981,Group6,Batch5
Cell11982,Group7,Batch5
Cell11983,Group3,Batch5
Cell11984,Group3,Batch5
Cell11985,Group5,Batch5
Cell11986,Group2,Batch5
Cell11987,Group7,Batch5
Cell11988,Group6,Batch5
Cell11989,Group8,Batch5
Cell11990,Group2,Batch5
Cell11991,Group8,Batch5
Cell11992,Group2,Batch5
Cell11993,Group3,Batch5
Cell11994,Group2,Batch5
Cell11995,Group1,Batch5
Cell11996,Group5,Batch5
Cell11997,Group3,Batch5
Cell11998,Group10,Batch5
Cell11999,Group7,Batch5
Cell12000,Group5,Batch5
Cell12001,Group10,Batch5
Cell12002,Group8,Batch5
Cell12003,Group5,Batch5
Cell12004,Group10,Batch5
Cell12005,Group9,Batch5
Cell12006,Group5,Batch5
Cell12007,Group4,Batch5
Cell12008,Group10,Batch5
Cell12009,Group1,Batch5
Cell12010,Group3,Batch5
Cell12011,Group10,Batch5
Cell12012,Group2,Batch5
Cell12013,Group3,Batch5
Cell12014,Group1,Batch5
Cell12015,Group3,Batch5
Cell12016,Group7,Batch5
Cell12017,Group7,Batch5
Cell12018,Group2,Batch5
Cell12019,Group3,Batch5
Cell12020,Group9,Batch5
Cell12021,Group1,Batch5
Cell12022,Group1,Batch5
Cell12023,Group5,Batch5
Cell12024,Group10,Batch5
Cell12025,Group5,Batch5
Cell12026,Group6,Batch5
Cell12027,Group4,Batch5
Cell12028,Group5,Batch5
Cell12029,Group4,Batch5
Cell12030,Group4,Batch5
Cell12031,Group10,Batch5
Cell12032,Group8,Batch5
Cell12033,Group8,Batch5
Cell12034,Group6,Batch5
Cell12035,Group4,Batch5
Cell12036,Group4,Batch5
Cell12037,Group7,Batch5
Cell12038,Group5,Batch5
Cell12039,Group6,Batch5
Cell12040,Group1,Batch5
Cell12041,Group3,Batch5
Cell12042,Group2,Batch5
Cell12043,Group7,Batch5
Cell12044,Group8,Batch5
Cell12045,Group2,Batch5
Cell12046,Group4,Batch5
Cell12047,Group10,Batch5
Cell12048,Group10,Batch5
Cell12049,Group2,Batch5
Cell12050,Group7,Batch5
Cell12051,Group3,Batch5
Cell12052,Group9,Batch5
Cell12053,Group2,Batch5
Cell12054,Group8,Batch5
Cell12055,Group4,Batch5
Cell12056,Group8,Batch5
Cell12057,Group10,Batch5
Cell12058,Group4,Batch5
Cell12059,Group1,Batch5
Cell12060,Group7,Batch5
Cell12061,Group3,Batch5
Cell12062,Group6,Batch5
Cell12063,Group4,Batch5
Cell12064,Group2,Batch5
Cell12065,Group7,Batch5
Cell12066,Group9,Batch5
Cell12067,Group10,Batch5
Cell12068,Group1,Batch5
Cell12069,Group5,Batch5
Cell12070,Group5,Batch5
Cell12071,Group5,Batch5
Cell12072,Group1,Batch5
Cell12073,Group4,Batch5
Cell12074,Group4,Batch5
Cell12075,Group5,Batch5
Cell12076,Group7,Batch5
Cell12077,Group3,Batch5
Cell12078,Group7,Batch5
Cell12079,Group1,Batch5
Cell12080,Group8,Batch5
Cell12081,Group8,Batch5
Cell12082,Group5,Batch5
Cell12083,Group1,Batch5
Cell12084,Group8,Batch5
Cell12085,Group2,Batch5
Cell12086,Group2,Batch5
Cell12087,Group1,Batch5
Cell12088,Group2,Batch5
Cell12089,Group8,Batch5
Cell12090,Group7,Batch5
Cell12091,Group7,Batch5
Cell12092,Group6,Batch5
Cell12093,Group6,Batch5
Cell12094,Group2,Batch5
Cell12095,Group10,Batch5
Cell12096,Group1,Batch5
Cell12097,Group1,Batch5
Cell12098,Group7,Batch5
Cell12099,Group8,Batch5
Cell12100,Group7,Batch5
Cell12101,Group4,Batch5
Cell12102,Group1,Batch5
Cell12103,Group3,Batch5
Cell12104,Group3,Batch5
Cell12105,Group1,Batch5
Cell12106,Group7,Batch5
Cell12107,Group7,Batch5
Cell12108,Group7,Batch5
Cell12109,Group3,Batch5
Cell12110,Group6,Batch5
Cell12111,Group7,Batch5
Cell12112,Group2,Batch5
Cell12113,Group1,Batch5
Cell12114,Group3,Batch5
Cell12115,Group5,Batch5
Cell12116,Group6,Batch5
Cell12117,Group2,Batch5
Cell12118,Group1,Batch5
Cell12119,Group1,Batch5
Cell12120,Group8,Batch5
Cell12121,Group1,Batch5
Cell12122,Group10,Batch5
Cell12123,Group8,Batch5
Cell12124,Group2,Batch5
Cell12125,Group2,Batch5
Cell12126,Group2,Batch5
Cell12127,Group1,Batch5
Cell12128,Group1,Batch5
Cell12129,Group7,Batch5
Cell12130,Group8,Batch5
Cell12131,Group6,Batch5
Cell12132,Group2,Batch5
Cell12133,Group3,Batch5
Cell12134,Group1,Batch5
Cell12135,Group1,Batch5
Cell12136,Group10,Batch5
Cell12137,Group6,Batch5
Cell12138,Group1,Batch5
Cell12139,Group6,Batch5
Cell12140,Group3,Batch5
Cell12141,Group3,Batch5
Cell12142,Group1,Batch5
Cell12143,Group9,Batch5
Cell12144,Group7,Batch5
Cell12145,Group10,Batch5
Cell12146,Group8,Batch5
Cell12147,Group3,Batch5
Cell12148,Group5,Batch5
Cell12149,Group9,Batch5
Cell12150,Group1,Batch5
Cell12151,Group3,Batch5
Cell12152,Group3,Batch5
Cell12153,Group2,Batch5
Cell12154,Group2,Batch5
Cell12155,Group1,Batch5
Cell12156,Group7,Batch5
Cell12157,Group10,Batch5
Cell12158,Group8,Batch5
Cell12159,Group8,Batch5
Cell12160,Group6,Batch5
Cell12161,Group8,Batch5
Cell12162,Group7,Batch5
Cell12163,Group5,Batch5
Cell12164,Group9,Batch5
Cell12165,Group8,Batch5
Cell12166,Group6,Batch5
Cell12167,Group10,Batch5
Cell12168,Group3,Batch5
Cell12169,Group1,Batch5
Cell12170,Group6,Batch5
Cell12171,Group7,Batch5
Cell12172,Group1,Batch5
Cell12173,Group7,Batch5
Cell12174,Group3,Batch5
Cell12175,Group8,Batch5
Cell12176,Group1,Batch5
Cell12177,Group7,Batch5
Cell12178,Group5,Batch5
Cell12179,Group8,Batch5
Cell12180,Group1,Batch5
Cell12181,Group6,Batch5
Cell12182,Group1,Batch5
Cell12183,Group9,Batch5
Cell12184,Group1,Batch5
Cell12185,Group3,Batch5
Cell12186,Group8,Batch5
Cell12187,Group4,Batch5
Cell12188,Group5,Batch5
Cell12189,Group6,Batch5
Cell12190,Group1,Batch5
Cell12191,Group7,Batch5
Cell12192,Group10,Batch5
Cell12193,Group7,Batch5
Cell12194,Group7,Batch5
Cell12195,Group3,Batch5
Cell12196,Group5,Batch5
Cell12197,Group5,Batch5
Cell12198,Group3,Batch5
Cell12199,Group4,Batch5
Cell12200,Group3,Batch5
Cell12201,Group6,Batch5
Cell12202,Group10,Batch5
Cell12203,Group7,Batch5
Cell12204,Group1,Batch5
Cell12205,Group2,Batch5
Cell12206,Group8,Batch5
Cell12207,Group6,Batch5
Cell12208,Group7,Batch5
Cell12209,Group1,Batch5
Cell12210,Group7,Batch5
Cell12211,Group10,Batch5
Cell12212,Group1,Batch5
Cell12213,Group1,Batch5
Cell12214,Group1,Batch5
Cell12215,Group3,Batch5
Cell12216,Group2,Batch5
Cell12217,Group1,Batch5
Cell12218,Group1,Batch5
Cell12219,Group7,Batch5
Cell12220,Group7,Batch5
Cell12221,Group7,Batch5
Cell12222,Group9,Batch5
Cell12223,Group1,Batch5
Cell12224,Group5,Batch5
Cell12225,Group1,Batch5
Cell12226,Group8,Batch5
Cell12227,Group2,Batch5
Cell12228,Group1,Batch5
Cell12229,Group4,Batch5
Cell12230,Group10,Batch5
Cell12231,Group4,Batch5
Cell12232,Group6,Batch5
Cell12233,Group1,Batch5
Cell12234,Group8,Batch5
Cell12235,Group10,Batch5
Cell12236,Group4,Batch5
Cell12237,Group5,Batch5
Cell12238,Group4,Batch5
Cell12239,Group1,Batch5
Cell12240,Group4,Batch5
Cell12241,Group7,Batch5
Cell12242,Group6,Batch5
Cell12243,Group4,Batch5
Cell12244,Group7,Batch5
Cell12245,Group6,Batch5
Cell12246,Group3,Batch5
Cell12247,Group6,Batch5
Cell12248,Group2,Batch5
Cell12249,Group10,Batch5
Cell12250,Group6,Batch5
Cell12251,Group3,Batch5
Cell12252,Group3,Batch5
Cell12253,Group4,Batch5
Cell12254,Group7,Batch5
Cell12255,Group2,Batch5
Cell12256,Group1,Batch5
Cell12257,Group1,Batch5
Cell12258,Group9,Batch5
Cell12259,Group1,Batch5
Cell12260,Group7,Batch5
Cell12261,Group10,Batch5
Cell12262,Group2,Batch5
Cell12263,Group1,Batch5
Cell12264,Group3,Batch5
Cell12265,Group4,Batch5
Cell12266,Group1,Batch5
Cell12267,Group2,Batch5
Cell12268,Group4,Batch5
Cell12269,Group7,Batch5
Cell12270,Group5,Batch5
Cell12271,Group7,Batch5
Cell12272,Group8,Batch5
Cell12273,Group10,Batch5
Cell12274,Group10,Batch5
Cell12275,Group8,Batch5
Cell12276,Group5,Batch5
Cell12277,Group10,Batch5
Cell12278,Group7,Batch5
Cell12279,Group3,Batch5
Cell12280,Group6,Batch5
Cell12281,Group7,Batch5
Cell12282,Group1,Batch5
Cell12283,Group1,Batch5
Cell12284,Group1,Batch5
Cell12285,Group9,Batch5
Cell12286,Group2,Batch5
Cell12287,Group9,Batch5
Cell12288,Group8,Batch5
Cell12289,Group10,Batch5
Cell12290,Group6,Batch5
Cell12291,Group1,Batch5
Cell12292,Group7,Batch5
Cell12293,Group6,Batch5
Cell12294,Group2,Batch5
Cell12295,Group6,Batch5
Cell12296,Group6,Batch5
Cell12297,Group1,Batch5
Cell12298,Group1,Batch5
Cell12299,Group8,Batch5
Cell12300,Group2,Batch5
Cell12301,Group5,Batch5
Cell12302,Group1,Batch5
Cell12303,Group3,Batch5
Cell12304,Group7,Batch5
Cell12305,Group10,Batch5
Cell12306,Group7,Batch5
Cell12307,Group1,Batch5
Cell12308,Group5,Batch5
Cell12309,Group3,Batch5
Cell12310,Group1,Batch5
Cell12311,Group1,Batch5
Cell12312,Group7,Batch5
Cell12313,Group1,Batch5
Cell12314,Group10,Batch5
Cell12315,Group6,Batch5
Cell12316,Group2,Batch5
Cell12317,Group3,Batch5
Cell12318,Group3,Batch5
Cell12319,Group8,Batch5
Cell12320,Group2,Batch5
Cell12321,Group1,Batch5
Cell12322,Group1,Batch5
Cell12323,Group9,Batch5
Cell12324,Group10,Batch5
Cell12325,Group5,Batch5
Cell12326,Group1,Batch5
Cell12327,Group5,Batch5
Cell12328,Group2,Batch5
Cell12329,Group9,Batch5
Cell12330,Group2,Batch5
Cell12331,Group8,Batch5
Cell12332,Group5,Batch5
Cell12333,Group5,Batch5
Cell12334,Group1,Batch5
Cell12335,Group2,Batch5
Cell12336,Group10,Batch5
Cell12337,Group3,Batch5
Cell12338,Group1,Batch5
Cell12339,Group8,Batch5
Cell12340,Group5,Batch5
Cell12341,Group2,Batch5
Cell12342,Group8,Batch5
Cell12343,Group7,Batch5
Cell12344,Group1,Batch5
Cell12345,Group10,Batch5
Cell12346,Group9,Batch5
Cell12347,Group1,Batch5
Cell12348,Group7,Batch5
Cell12349,Group2,Batch5
Cell12350,Group6,Batch5
Cell12351,Group3,Batch5
Cell12352,Group7,Batch5
Cell12353,Group1,Batch5
Cell12354,Group10,Batch5
Cell12355,Group8,Batch5
Cell12356,Group10,Batch5
Cell12357,Group8,Batch5
Cell12358,Group3,Batch5
Cell12359,Group7,Batch5
Cell12360,Group1,Batch5
Cell12361,Group7,Batch5
Cell12362,Group3,Batch5
Cell12363,Group3,Batch5
Cell12364,Group1,Batch5
Cell12365,Group9,Batch5
Cell12366,Group7,Batch5
Cell12367,Group5,Batch5
Cell12368,Group7,Batch5
Cell12369,Group3,Batch5
Cell12370,Group5,Batch5
Cell12371,Group3,Batch5
Cell12372,Group5,Batch5
Cell12373,Group1,Batch5
Cell12374,Group1,Batch5
Cell12375,Group8,Batch5
Cell12376,Group9,Batch5
Cell12377,Group10,Batch5
Cell12378,Group8,Batch5
Cell12379,Group4,Batch5
Cell12380,Group2,Batch5
Cell12381,Group8,Batch5
Cell12382,Group8,Batch5
Cell12383,Group3,Batch5
Cell12384,Group7,Batch5
Cell12385,Group5,Batch5
Cell12386,Group5,Batch5
Cell12387,Group6,Batch5
Cell12388,Group9,Batch5
Cell12389,Group1,Batch5
Cell12390,Group6,Batch5
Cell12391,Group2,Batch5
Cell12392,Group5,Batch5
Cell12393,Group6,Batch5
Cell12394,Group3,Batch5
Cell12395,Group10,Batch5
Cell12396,Group8,Batch5
Cell12397,Group2,Batch5
Cell12398,Group2,Batch5
Cell12399,Group7,Batch5
Cell12400,Group1,Batch5
Cell12401,Group3,Batch5
Cell12402,Group2,Batch5
Cell12403,Group4,Batch5
Cell12404,Group3,Batch5
Cell12405,Group5,Batch5
Cell12406,Group7,Batch5
Cell12407,Group2,Batch5
Cell12408,Group2,Batch5
Cell12409,Group9,Batch5
Cell12410,Group7,Batch5
Cell12411,Group7,Batch5
Cell12412,Group6,Batch5
Cell12413,Group7,Batch5
Cell12414,Group6,Batch5
Cell12415,Group3,Batch5
Cell12416,Group2,Batch5
Cell12417,Group1,Batch5
Cell12418,Group3,Batch5
Cell12419,Group5,Batch5
Cell12420,Group10,Batch5
Cell12421,Group7,Batch5
Cell12422,Group9,Batch5
Cell12423,Group9,Batch5
Cell12424,Group5,Batch5
Cell12425,Group8,Batch5
Cell12426,Group6,Batch5
Cell12427,Group10,Batch5
Cell12428,Group8,Batch5
Cell12429,Group7,Batch5
Cell12430,Group1,Batch5
Cell12431,Group5,Batch5
Cell12432,Group1,Batch5
Cell12433,Group10,Batch5
Cell12434,Group4,Batch5
Cell12435,Group4,Batch5
Cell12436,Group5,Batch5
Cell12437,Group3,Batch5
Cell12438,Group8,Batch5
Cell12439,Group2,Batch5
Cell12440,Group7,Batch5
Cell12441,Group7,Batch5
Cell12442,Group1,Batch5
Cell12443,Group10,Batch5
Cell12444,Group7,Batch5
Cell12445,Group3,Batch5
Cell12446,Group8,Batch5
Cell12447,Group10,Batch5
Cell12448,Group10,Batch5
Cell12449,Group7,Batch5
Cell12450,Group5,Batch5
Cell12451,Group1,Batch5
Cell12452,Group1,Batch5
Cell12453,Group6,Batch5
Cell12454,Group4,Batch5
Cell12455,Group8,Batch5
Cell12456,Group10,Batch5
Cell12457,Group6,Batch5
Cell12458,Group2,Batch5
Cell12459,Group2,Batch5
Cell12460,Group7,Batch5
Cell12461,Group10,Batch5
Cell12462,Group2,Batch5
Cell12463,Group4,Batch5
Cell12464,Group9,Batch5
Cell12465,Group1,Batch5
Cell12466,Group6,Batch5
Cell12467,Group10,Batch5
Cell12468,Group1,Batch5
Cell12469,Group8,Batch5
Cell12470,Group8,Batch5
Cell12471,Group4,Batch5
Cell12472,Group6,Batch5
Cell12473,Group10,Batch5
Cell12474,Group1,Batch5
Cell12475,Group2,Batch5
Cell12476,Group10,Batch5
Cell12477,Group6,Batch5
Cell12478,Group2,Batch5
Cell12479,Group7,Batch5
Cell12480,Group1,Batch5
Cell12481,Group1,Batch5
Cell12482,Group7,Batch5
Cell12483,Group8,Batch5
Cell12484,Group7,Batch5
Cell12485,Group2,Batch5
Cell12486,Group5,Batch5
Cell12487,Group5,Batch5
Cell12488,Group1,Batch5
